cell_id	clone_id	dataset_id
SA906-A96175C-R67-C62	C	SA906a
SA906-A96175C-R67-C63	A	SA906a
SA906-A96175C-R67-C68	C	SA906a
SA906-A96175C-R68-C09	L	SA906a
SA906-A96175C-R68-C11	G	SA906a
SA906-A96175C-R68-C14	D	SA906a
SA906-A96175C-R68-C16	I	SA906a
SA906-A96175C-R68-C17	G	SA906a
SA906-A96175C-R68-C21	G	SA906a
SA906-A96175C-R68-C23	B	SA906a
SA906-A96175C-R68-C25	F	SA906a
SA906-A96175C-R68-C30	G	SA906a
SA906-A96175C-R68-C32	I	SA906a
SA906-A96175C-R68-C34	G	SA906a
SA906-A96175C-R68-C37	B	SA906a
SA906-A96175C-R68-C41	G	SA906a
SA906-A96175C-R68-C42	I	SA906a
SA906-A96175C-R68-C46	C	SA906a
SA906-A96175C-R68-C47	A	SA906a
SA906-A96175C-R68-C51	A	SA906a
SA906-A96175C-R68-C52	J	SA906a
SA906-A96175C-R68-C54	D	SA906a
SA906-A96175C-R68-C55	G	SA906a
SA906-A96175C-R68-C57	G	SA906a
SA906-A96175C-R68-C58	C	SA906a
SA906-A96175C-R68-C59	C	SA906a
SA906-A96175C-R68-C61	G	SA906a
SA906-A96175C-R68-C63	G	SA906a
SA906-A96175C-R68-C68	C	SA906a
SA906-A96175C-R68-C69	G	SA906a
SA906-A96175C-R69-C08	F	SA906a
SA906-A96175C-R69-C10	G	SA906a
SA906-A96175C-R69-C13	G	SA906a
SA906-A96175C-R69-C15	B	SA906a
SA906-A96175C-R69-C16	G	SA906a
SA906-A96175C-R69-C17	G	SA906a
SA906-A96175C-R69-C21	B	SA906a
SA906-A96175C-R69-C22	I	SA906a
SA906-A96175C-R69-C24	D	SA906a
SA906-A96175C-R69-C28	C	SA906a
SA906-A96175C-R69-C31	C	SA906a
SA906-A96175C-R69-C33	I	SA906a
SA906-A96175C-R69-C35	G	SA906a
SA906-A96175C-R69-C45	G	SA906a
